N H2 O2 v p t
1 0.0 0.0 0.0 167594.5 20.0
2 0.1050153 0.1469379 0.1882205 167594.5 113.7255
3 0.09314721 0.1493923 0.1860933 167594.5 109.8902
4 0.09115068 0.1496579 0.1879334 167594.5 106.6265
5 0.0812559 0.1517734 0.1849 167594.5 109.6472
6 0.09771181 0.1484394 0.1864181 167594.5 110.6997
7 0.1070576 0.1450791 0.1903897 167594.5 130.8373
8 0.1003515 0.147909 0.1903116 167594.5 118.2018
9 0.06400361 0.156235 0.1794168 167594.5 107.7561
10 0.09182737 0.1499581 0.1858634 167594.5 109.0664
11 0.06894337 0.1510685 0.1910736 167594.5 146.9011
12 0.06263959 0.1504286 0.1947149 167594.5 169.0302
13 0.09519472 0.1480653 0.1900931 167594.5 119.1394
14 0.05363217 0.1592059 0.1756779 167594.5 112.6837
15 0.08526285 0.1510797 0.1962782 167594.5 114.2213
16 0.09758526 0.1425123 0.203948 167594.5 153.6167
17 0.05389346 0.159139 0.1755581 167594.5 110.4819
18 0.06319733 0.1374781 0.2252557 167594.5 235.6447
19 0.06041293 0.1488589 0.1988896 167594.5 166.9794
20 0.05097262 0.1439912 0.2137632 167594.5 229.4794
21 0.06823521 0.148084 0.1983816 167594.5 173.9686
22 0.0707856 0.1552531 0.180669 167594.5 108.6967
23 0.07905171 0.1529834 0.18353 167594.5 101.402
24 0.07542364 0.1538992 0.181258 167594.5 103.8415
25 0.06285174 0.1461632 0.2056655 167594.5 175.2809
26 0.06047454 0.147043 0.205991 167594.5 177.8728
27 0.06221508 0.1568439 0.1782919 167594.5 104.4012
28 0.0688908 0.1549567 0.1805644 167594.5 101.0551
29 0.06365816 0.1478726 0.2007823 167594.5 185.0464
30 0.06700004 0.1438848 0.2101005 167594.5 194.1987
31 0.05554416 0.1586786 0.1761468 167594.5 107.7955
32 0.06247771 0.1382676 0.2219565 167594.5 267.3967
33 0.06515479 0.1485327 0.1982858 167594.5 177.8704
34 0.06144971 0.1455483 0.2075002 167594.5 179.7393
35 0.09406102 0.1418989 0.2075109 167594.5 161.2471
36 0.1252296 0.1430332 0.1852613 167594.5 133.5007
37 0.06243931 0.157037 0.1793285 167594.5 109.7356
38 0.1127552 0.145113 0.1883418 167594.5 125.7823
39 0.1112199 0.1459956 0.1863989 167594.5 124.1378
40 0.1063173 0.1473383 0.1849428 167594.5 120.0226
41 0.07958162 0.1536568 0.180445 167594.5 109.3233
42 0.11239 0.1446716 0.1893422 167594.5 127.8423
43 0.05965783 0.156702 0.1792214 167594.5 115.5666
44 0.08178732 0.1490274 0.1927885 167594.5 118.9201
45 0.1008132 0.1467358 0.1891479 167594.5 118.5712
