N H2 O2 H2O T(C) P 
1 0.0006 0.1966 0.1025 59.6300 184487.0000 
2 0.0050 0.1382 0.3638 88.4400 184505.0000 
3 0.0045 0.1391 0.3607 88.4400 184505.0000 
4 0.0051 0.1380 0.3646 89.0100 184506.0000 
5 0.0044 0.1389 0.3621 88.5400 184505.0000 
6 0.0068 0.1400 0.3530 87.6300 184413.0000 
7 0.0061 0.1403 0.3529 87.6200 184413.0000 
8 0.0001 0.1909 0.1291 67.1500 184405.0000 
9 0.0590 0.1034 0.4549 113.9000 184416.0000 
10 0.0067 0.1393 0.3565 87.8900 184413.0000 
11 0.0000 0.1064 0.5147 97.6500 184405.0000 
12 0.0411 0.0465 0.7335 120.7000 184411.0000 
13 0.0129 0.1291 0.3947 93.0000 184411.0000 
14 0.0005 0.1331 0.3921 90.4200 184410.0000 
15 0.0000 0.2087 0.0481 52.5000 184399.0000 
16 0.0641 0.1093 0.4150 116.9000 184416.0000 
17 0.0225 0.1247 0.4039 95.1800 184412.0000 
18 0.0354 0.1046 0.4797 108.7000 184407.0000 
19 0.1160 0.0727 0.5215 148.0000 184411.0000 
20 0.1153 0.0724 0.5241 145.4000 184408.0000 
21 0.1167 0.0734 0.5172 150.5000 184409.0000 
22 0.0059 0.1337 0.3832 99.3800 184408.0000 
23 0.0214 0.1233 0.4084 103.8000 184411.0000 
24 0.0413 0.1025 0.4783 106.3000 184413.0000 
25 0.0880 0.0604 0.6064 127.4000 184410.0000 
26 0.1031 0.0488 0.6239 145.6000 184413.0000 
27 0.0089 0.1262 0.4139 91.7900 184411.0000 
28 0.0165 0.1247 0.4107 92.8400 184411.0000 
29 0.0627 0.0791 0.5530 129.4000 184406.0000 
30 0.0201 0.0740 0.6406 110.5000 184403.0000 
31 0.0107 0.1264 0.4111 91.6500 184394.0000 
32 0.1167 0.0732 0.5183 150.3000 184415.0000 
33 0.0643 0.0914 0.4909 142.0000 184412.0000 
34 0.0388 0.1118 0.4420 112.9000 184400.0000 
35 0.0261 0.1178 0.4316 98.1600 184402.0000 
36 0.0136 0.1238 0.4186 92.1200 184412.0000 
37 0.0000 0.1467 0.3308 85.9900 184394.0000 
38 0.0060 0.1401 0.3539 87.7000 184413.0000 
39 0.0068 0.1409 0.3491 87.3400 184410.0000 
40 0.0062 0.1408 0.3503 87.4300 184456.0000 
41 0.0058 0.1342 0.3810 98.7400 184409.0000 
42 0.0058 0.1399 0.3549 87.7700 184413.0000 
43 0.0296 0.1157 0.4353 99.6000 184248.0000 
44 0.0051 0.1372 0.3681 100.2000 184244.0000 
45 0.0196 0.1192 0.4314 95.4800 184246.0000 
46 0.0001 0.1455 0.3362 99.3200 184242.0000 
47 0.0439 0.1085 0.4487 108.8000 184252.0000 
48 0.2105 0.0511 0.4794 224.0000 184318.0000 
49 0.0230 0.1141 0.4511 96.1100 184248.0000 
50 0.2197 0.0544 0.4808 190.3000 184315.0000 
51 0.2210 0.0548 0.4787 190.8000 184315.0000 
52 0.0062 0.1402 0.3531 87.6200 184301.0000 
53 0.0001 0.1910 0.1287 63.5500 184212.0000 
54 0.1398 0.0558 0.5646 187.0000 184312.0000 
55 0.1121 0.0487 0.6075 169.0000 184309.0000 
56 0.0236 0.1132 0.4533 98.4400 184248.0000 
57 0.0626 0.1089 0.4185 112.6000 184253.0000 
58 0.0405 0.1026 0.4793 104.9000 184252.0000 
59 0.0003 0.0818 0.6267 112.7000 184255.0000 
60 0.0066 0.1405 0.3513 87.4800 184241.0000 
61 0.0065 0.1407 0.3504 87.4200 184241.0000 
62 0.0038 0.1444 0.3369 86.4200 184240.0000 
63 0.0000 0.1713 0.2187 75.7600 184281.0000 
64 0.0074 0.1404 0.3504 87.4200 184241.0000 
65 0.0072 0.1396 0.3545 87.7200 184241.0000 
66 0.1151 0.0664 0.5387 196.4000 184308.0000 
67 0.0131 0.1312 0.3842 93.6400 184244.0000 
68 0.0453 0.0344 0.7565 176.3000 184307.0000 
69 0.0003 0.1607 0.2666 80.5800 184236.0000 
70 0.0309 0.1140 0.4374 106.3000 184250.0000 
71 0.0053 0.1376 0.3663 97.9300 184244.0000 
72 0.2218 0.0549 0.4774 194.2000 184316.0000 
73 0.1236 0.0699 0.5222 170.7000 184305.0000 
74 0.1318 0.0703 0.5132 170.0000 184306.0000 
75 0.0002 0.1520 0.3065 97.0600 184241.0000 
76 0.2567 0.0697 0.3987 231.1000 184319.0000 
77 0.0268 0.1163 0.4363 97.4100 184248.0000 
78 0.1231 0.0698 0.5235 168.8000 184305.0000 
79 0.0440 0.1064 0.4526 119.5000 184254.0000 
80 0.2636 0.0597 0.4134 263.7000 184322.0000 
81 0.2899 0.0712 0.3729 215.7000 184319.0000 
82 0.0000 0.1922 0.1233 62.5900 184277.0000 
83 0.0058 0.1384 0.3619 94.4000 184243.0000 
84 0.0072 0.1412 0.3473 87.1900 184241.0000 
85 0.1313 0.0676 0.5250 163.0000 184305.0000 
86 0.1037 0.0630 0.5622 196.4000 184308.0000 
87 0.2180 0.0534 0.4831 205.6000 184242.0000 
88 0.0075 0.1416 0.3451 87.0800 183881.0000 
89 0.0020 0.0500 0.7692 109.0000 184266.0000 
90 0.0077 0.1406 0.3490 87.5600 184154.0000 
91 0.0083 0.1399 0.3516 87.5000 184106.0000 
92 0.0076 0.1422 0.3422 86.7900 184061.0000 
93 0.2116 0.0518 0.4930 206.6000 184249.0000 
94 0.0000 0.2190 0.0010 40.0000 101844.0000 
95 0.0000 0.2190 0.0010 44.5800 101706.0000 
96 0.0000 0.2190 0.0010 39.8700 101975.0000 
97 0.0000 0.2190 0.0010 39.8600 101083.0000 
98 0.0000 0.2190 0.0010 39.9900 100995.0000 
99 0.0000 0.2190 0.0010 40.1700 101037.0000 
100 0.0001 0.2120 0.0330 39.3300 184629.0000 
101 0.0001 0.2123 0.0314 39.3800 184629.0000 
102 0.0001 0.2112 0.0364 39.8000 184628.0000 
103 0.0010 0.2079 0.0505 47.9100 184630.0000 
104 0.0011 0.2073 0.0533 48.1100 184630.0000 
105 0.0001 0.2119 0.0334 39.3700 184629.0000 
106 0.0007 0.2082 0.0497 46.3200 184630.0000 
107 0.0009 0.2035 0.0708 51.8200 184630.0000 
108 0.0000 0.2190 0.0010 39.8500 100984.0000 
109 0.0000 0.2190 0.0010 53.5300 101845.0000 
110 0.0000 0.2190 0.0010 44.6800 101366.0000 
111 0.0000 0.2190 0.0010 39.8500 101236.0000 
112 0.0000 0.2190 0.0010 39.8700 101714.0000 
113 0.0000 0.2190 0.0010 39.8500 101173.0000 
114 0.0000 0.2190 0.0010 39.8500 101611.0000 
